home_WC_last5,home_D_PTS_last5,home_D_REB_last5,home_D_AST_last5,home_FT_PCT_last5,home_FG_PCT_last5,home_FG3_PCT_last5,away_WC_last5,away_D_PTS_last5,away_D_REB_last5,away_D_AST_last5,away_FT_PCT_last5,away_FG_PCT_last5,away_FG3_PCT_last5,home_days_passed,away_days_passed,HOME_WINS,GAME_DATE_EST
3,0.6,5.0,1.6,0.7256,0.4424,0.40119999999999995,3,-4.2,2.8,1.8,0.7668,0.3826,0.3324,3.0,2.0,1,2003-11-11
4,12.4,6.4,1.2,0.7236,0.4704,0.4426,0,-12.2,0.0,-5.4,0.7646,0.3774,0.35979999999999995,3.0,3.0,1,2003-11-11
2,-3.6,-9.6,5.2,0.7356,0.45,0.44000000000000006,5,10.2,5.6,0.0,0.7706,0.43019999999999997,0.40599999999999997,2.0,2.0,1,2003-11-11
3,9.2,-0.8,5.0,0.7809999999999999,0.46579999999999994,0.44560000000000005,4,11.2,-0.2,3.2,0.6808,0.4446,0.3006,3.0,2.0,0,2003-11-11
5,6.6,4.0,2.4,0.7254,0.4326,0.2952,2,-2.2,4.0,-2.2,0.8114000000000001,0.446,0.23479999999999998,2.0,2.0,0,2003-11-11
2,1.4,1.0,-2.4,0.7554000000000001,0.4272,0.2794,2,0.0,-7.6,-1.2,0.7112,0.45039999999999997,0.36879999999999996,3.0,2.0,0,2003-11-11
3,4.4,-0.4,0.6,0.7862,0.4306,0.32599999999999996,3,4.0,-1.2,1.2,0.7152000000000001,0.4744,0.4104,3.0,3.0,1,2003-11-11
0,-11.6,1.4,-3.8,0.736,0.3736,0.3014,2,0.6,7.4,3.2,0.7528,0.454,0.34199999999999997,1.0,2.0,1,2003-11-12
3,-1.0,2.4,0.2,0.6624000000000001,0.44420000000000004,0.34219999999999995,2,-5.4,-2.8,1.0,0.7310000000000001,0.3882,0.3372,2.0,1.0,1,2003-11-12
3,7.4,2.4,2.4,0.729,0.43279999999999996,0.3618,4,7.6,0.4,0.0,0.7086,0.4524,0.2966,4.0,1.0,0,2003-11-12
3,1.0,-2.8,-2.4,0.7806,0.434,0.34500000000000003,2,-5.2,-3.4,-0.8,0.7358,0.4508,0.33759999999999996,2.0,1.0,0,2003-11-12
3,5.8,3.0,-1.0,0.7074,0.45899999999999996,0.3234,4,6.6,6.4,-4.2,0.7647999999999999,0.4225999999999999,0.39180000000000004,2.0,1.0,1,2003-11-12
2,-3.0,-2.6,-3.6,0.738,0.4748,0.38039999999999996,3,1.6,8.4,-0.8,0.8218,0.42700000000000005,0.3246,1.0,2.0,1,2003-11-12
0,-12.6,-9.6,-3.8,0.713,0.3786,0.361,2,-0.6,-7.4,2.2,0.7430000000000001,0.4204,0.32819999999999994,4.0,2.0,0,2003-11-12
2,-2.2,-3.4,2.6,0.806,0.40540000000000004,0.3968,2,0.4,-2.4,0.2,0.7232,0.3798,0.331,3.0,2.0,0,2003-11-12
2,-2.2,3.4,-0.6,0.7704,0.4342,0.281,2,-10.4,-3.2,-0.8,0.7445999999999999,0.46699999999999997,0.41899999999999993,1.0,2.0,0,2003-11-12
3,-2.6,8.0,0.2,0.7072,0.43479999999999996,0.40700000000000003,2,-4.6,-8.4,7.2,0.7150000000000001,0.4434,0.3926,2.0,2.0,1,2003-11-13
3,5.0,0.4,4.2,0.7784,0.4434,0.34259999999999996,4,13.0,4.0,0.2,0.7536,0.4628,0.41180000000000005,2.0,2.0,1,2003-11-13
3,-2.6,-2.4,-1.0,0.7378,0.5,0.4332,2,5.4,-0.2,3.4,0.7602,0.4614,0.46559999999999996,1.0,2.0,0,2003-11-13
3,4.2,-7.0,-1.6,0.7736,0.4468,0.36360000000000003,3,4.8,-1.2,-1.2,0.7476,0.38539999999999996,0.3176,3.0,2.0,1,2003-11-14
3,-1.0,3.0,0.4,0.6504,0.4424,0.3266,3,4.0,3.0,-4.0,0.7626,0.4196,0.356,2.0,2.0,1,2003-11-14
2,-2.8,-2.2,-6.8,0.7163999999999999,0.36660000000000004,0.35760000000000003,0,-12.4,-4.2,-3.2,0.694,0.391,0.3276,4.0,2.0,1,2003-11-14
2,-0.8,-8.0,8.0,0.76,0.4676,0.43079999999999996,2,-5.0,-5.4,1.6,0.7332,0.40279999999999994,0.3288,1.0,2.0,1,2003-11-14
4,12.4,3.2,3.0,0.8036,0.47040000000000004,0.4548,2,-1.8,-1.8,-1.6,0.7824,0.4372,0.3494,1.0,2.0,1,2003-11-14
3,7.0,4.4,2.6,0.7348,0.46299999999999997,0.4332,2,-0.8,5.4,0.4,0.8336,0.4378,0.2746,1.0,2.0,0,2003-11-14
3,3.4,0.6,-0.6,0.6868000000000001,0.42960000000000004,0.2464,2,-6.6,6.8,-2.4,0.779,0.42139999999999994,0.3984,2.0,3.0,0,2003-11-14
4,5.4,0.4,2.2,0.7696000000000001,0.42539999999999994,0.329,4,6.8,0.0,0.4,0.713,0.46959999999999996,0.368,3.0,2.0,1,2003-11-14
1,-8.2,0.4,-3.6,0.7352000000000001,0.3932,0.35619999999999996,2,0.6,5.2,-1.4,0.7363999999999999,0.4306,0.32439999999999997,2.0,3.0,1,2003-11-14
1,-7.6,-3.6,2.8,0.7594000000000001,0.39239999999999997,0.3332,2,-4.6,0.2,-2.6,0.8513999999999999,0.43039999999999995,0.34019999999999995,2.0,4.0,1,2003-11-14
2,-2.2,0.8,1.6,0.7354,0.41859999999999997,0.2786,2,3.4,8.0,4.0,0.7132000000000001,0.4484,0.3556,2.0,2.0,1,2003-11-14
3,0.4,-2.0,-4.2,0.7776,0.48599999999999993,0.43600000000000005,4,0.0,6.8,-1.0,0.7564,0.46080000000000004,0.4096,3.0,2.0,1,2003-11-15
2,2.4,1.4,-0.4,0.7322,0.43620000000000003,0.3388,2,2.6,-0.4,-1.0,0.7708,0.392,0.32739999999999997,1.0,1.0,0,2003-11-15
2,-6.2,-4.4,0.4,0.772,0.4568,0.36619999999999997,2,-4.4,-2.6,3.2,0.7283999999999999,0.41180000000000005,0.3808,3.0,1.0,0,2003-11-15
2,-0.2,-8.6,1.4,0.7525999999999999,0.43499999999999994,0.3598,3,5.2,2.2,2.2,0.7544,0.43220000000000003,0.2688,3.0,2.0,1,2003-11-15
1,-7.0,0.6,-5.8,0.845,0.42479999999999996,0.3942,4,7.8,3.4,2.2,0.7748,0.43479999999999996,0.429,1.0,1.0,0,2003-11-15
2,-4.4,-2.4,-1.0,0.6896,0.47540000000000004,0.4488,3,-1.6,-2.8,-2.2,0.7068000000000001,0.4356,0.375,2.0,1.0,0,2003-11-15
2,0.4,2.2,-0.8,0.7944,0.41899999999999993,0.3252,2,-1.4,2.4,-1.4,0.8093999999999999,0.43579999999999997,0.29900000000000004,3.0,1.0,1,2003-11-15
2,-2.0,2.2,-0.8,0.765,0.4306,0.30219999999999997,2,1.4,1.0,-2.4,0.825,0.422,0.30720000000000003,1.0,1.0,0,2003-11-15
3,-1.6,2.4,-2.6,0.8144,0.44659999999999994,0.379,0,-12.0,-5.4,-1.4,0.6644,0.4306,0.3976,1.0,1.0,1,2003-11-15
2,2.4,6.6,3.0,0.7222000000000001,0.44279999999999997,0.3684,3,2.8,-6.2,-2.0,0.745,0.4484,0.3802,1.0,1.0,1,2003-11-15
2,4.4,-4.2,12.4,0.7744000000000001,0.4676,0.3792,3,5.2,2.8,2.0,0.7230000000000001,0.43879999999999997,0.244,2.0,2.0,1,2003-11-16
3,-1.2,4.8,-1.0,0.6732,0.4452,0.27579999999999993,2,-5.4,1.0,-1.8,0.7418,0.381,0.33619999999999994,2.0,2.0,1,2003-11-16
1,-12.2,-8.2,-2.6,0.7388,0.39099999999999996,0.29,4,7.0,2.2,1.2,0.7766,0.4438,0.4048,2.0,2.0,1,2003-11-16
3,5.8,4.0,3.0,0.7203999999999999,0.43739999999999996,0.2956,3,-5.6,3.0,-1.4,0.749,0.4406,0.3566,2.0,2.0,1,2003-11-17
3,3.6,-6.2,-4.0,0.7266,0.4344,0.3696,3,4.0,0.8,-0.2,0.8194000000000001,0.41159999999999997,0.3548,2.0,1.0,0,2003-11-17
1,-4.0,3.4,-6.2,0.8544,0.43439999999999995,0.42279999999999995,3,1.2,0.4,1.4,0.7006,0.40599999999999997,0.3278,2.0,3.0,1,2003-11-17
