home_WC_last5,home_D_PTS_last5,home_D_REB_last5,home_D_AST_last5,home_FT_PCT_last5,home_FG_PCT_last5,home_FG3_PCT_last5,away_WC_last5,away_D_PTS_last5,away_D_REB_last5,away_D_AST_last5,away_FT_PCT_last5,away_FG_PCT_last5,away_FG3_PCT_last5,HOME_WINS,GAME_DATE_EST
0,-7.0,-11.0,-8.0,0.897,0.3289999999999999,0.143,1,7.0,11.0,8.0,0.647,0.352,0.222,1,2003-10-28
0,-15.0,-4.0,-1.0,0.5379999999999999,0.462,0.214,0,-15.0,5.0,-9.0,0.8240000000000001,0.408,0.25,1,2003-10-29
0,-18.0,-8.0,-7.0,0.852,0.38,0.188,0,-7.0,-2.0,-10.0,0.8,0.5,0.0,0,2003-10-29
1,7.0,2.0,10.0,0.7140000000000001,0.527,0.7,0,-3.0,0.0,-3.0,0.75,0.35,0.429,1,2003-10-29
1,5.0,-2.0,2.0,0.75,0.3829999999999999,0.2,1,22.0,4.0,5.0,0.679,0.4639999999999999,0.25,1,2003-10-29
1,15.0,4.0,1.0,0.7,0.493,0.286,1,4.0,-1.0,1.0,0.5760000000000001,0.385,0.3,0,2003-10-29
0,-4.0,1.0,-1.0,0.7,0.457,0.667,0,-5.0,2.0,-2.0,0.667,0.358,0.385,0,2003-10-29
1,5.0,3.0,3.0,0.735,0.457,0.143,1,24.0,-4.0,12.0,0.657,0.527,0.429,1,2003-10-29
1,19.0,-11.0,6.0,0.871,0.467,0.444,1,3.0,0.0,3.0,0.5710000000000001,0.4379999999999999,0.25,1,2003-10-29
0,-20.0,-4.0,-14.0,0.737,0.3289999999999999,0.211,1,8.0,6.0,3.0,0.69,0.292,0.4,1,2003-10-30
0,-1.0,5.0,-6.0,0.81,0.361,0.5,0,-14.0,-2.0,-3.0,0.667,0.465,0.545,1,2003-10-30
1,20.0,4.0,14.0,0.703,0.413,0.37,0,-19.0,11.0,-6.0,0.609,0.368,0.364,1,2003-10-30
